date_time,true_positives,false_positives,true_negatives,false_negatives,precision,recall,f1,defined,duration
2025-04-26-15:20:29,77655,1416,1159228,187,0.9821,0.9976,0.9898,1238486,22.977
2025-04-26-15:20:53,58984,2138,1162903,191,0.965,0.9968,0.9806,1224216,22.859
2025-04-26-15:21:18,51230,1027,1225553,181,0.9803,0.9965,0.9883,1277991,23.334
2025-04-26-15:21:43,50116,1611,961108,164,0.9689,0.9967,0.9826,1012999,22.838
2025-04-26-15:22:07,70415,2305,1138018,141,0.9683,0.998,0.9829,1210879,22.965
2025-04-26-15:22:32,68090,698,1324348,191,0.9899,0.9972,0.9935,1393327,22.986
2025-04-26-15:22:57,46407,1443,1169651,42,0.9698,0.9991,0.9843,1217543,23.051
2025-04-26-15:23:21,68399,869,1060679,106,0.9875,0.9985,0.9929,1130053,22.915
2025-04-26-15:23:46,65174,1349,929228,119,0.9797,0.9982,0.9889,995870,23.492
2025-04-26-15:24:11,46501,991,1032429,99,0.9791,0.9979,0.9884,1080020,22.798
2025-04-26-15:24:35,60384,967,1181016,135,0.9842,0.9978,0.991,1242502,22.955
2025-04-26-15:25:00,57382,1315,980769,72,0.9776,0.9987,0.9881,1039538,23.058
2025-04-26-15:25:25,52201,1154,1057435,53,0.9784,0.999,0.9886,1110843,23.055
2025-04-26-15:25:49,57124,739,1097466,111,0.9872,0.9981,0.9926,1155440,22.759
2025-04-26-15:26:14,47374,1094,1029645,116,0.9774,0.9976,0.9874,1078229,23.42
2025-04-26-15:26:39,74632,782,889441,122,0.9896,0.9984,0.994,964977,23.323
2025-04-26-15:27:03,48788,1190,983802,70,0.9762,0.9986,0.9873,1033850,22.878
2025-04-26-15:27:28,48957,587,1022892,138,0.9882,0.9972,0.9926,1072574,22.966
2025-04-26-15:27:52,60286,968,1007365,107,0.9842,0.9982,0.9912,1068726,22.763
2025-04-26-15:28:17,74410,757,1126774,127,0.9899,0.9983,0.9941,1202068,22.942
2025-04-26-15:28:41,50475,1164,919893,126,0.9775,0.9975,0.9874,971658,22.989
2025-04-26-15:29:06,42149,1080,940425,202,0.975,0.9952,0.985,983856,22.736
2025-04-26-15:29:30,64245,904,986315,84,0.9861,0.9987,0.9924,1051548,22.88
2025-04-26-15:29:55,46270,834,1066177,120,0.9823,0.9974,0.9898,1113401,22.96
2025-04-26-15:30:19,56362,603,1154229,100,0.9894,0.9982,0.9938,1211294,22.764
2025-04-26-15:30:43,57373,543,898319,78,0.9906,0.9986,0.9946,956313,22.764
2025-04-26-15:31:08,56028,879,950505,104,0.9846,0.9981,0.9913,1007516,22.911
2025-04-26-15:31:32,43825,807,955033,67,0.9819,0.9985,0.9901,999732,22.825
2025-04-26-15:31:57,80073,762,1049040,241,0.9906,0.997,0.9938,1130116,22.893
2025-04-26-15:32:21,65095,2770,933483,55,0.9592,0.9992,0.9788,1001403,22.84
2025-04-26-15:32:46,64563,745,1020083,144,0.9886,0.9978,0.9932,1085535,22.781
2025-04-26-15:33:10,65603,1625,1003553,109,0.9758,0.9983,0.987,1070890,22.834
2025-04-26-15:33:34,50596,983,1161866,191,0.9809,0.9962,0.9885,1213636,22.825
2025-04-26-15:33:59,72980,902,871223,52,0.9878,0.9993,0.9935,945157,22.905
2025-04-26-15:34:23,67193,880,1027829,75,0.9871,0.9989,0.9929,1095977,22.897
2025-04-26-15:34:48,56370,656,981779,102,0.9885,0.9982,0.9933,1038907,22.961
2025-04-26-15:35:12,63730,841,950954,105,0.987,0.9984,0.9926,1015630,22.703
2025-04-26-15:35:37,54197,523,958806,150,0.9904,0.9972,0.9938,1013676,22.951
2025-04-26-15:36:01,60860,736,946559,103,0.9881,0.9983,0.9932,1008258,22.705
2025-04-26-15:36:26,75128,463,976965,82,0.9939,0.9989,0.9964,1052638,23.493
2025-04-26-15:36:51,47638,2402,879402,462,0.952,0.9904,0.9708,929904,22.772
2025-04-26-15:37:15,62566,1586,931179,190,0.9753,0.997,0.986,995521,22.976
2025-04-26-15:37:40,84448,988,970408,189,0.9884,0.9978,0.9931,1056033,22.882
2025-04-26-15:41:55,66168,2734,1154291,262,0.9603,0.9961,0.9779,1223455,22.552
2025-04-26-15:42:20,62052,1769,884698,724,0.9723,0.9885,0.9803,949243,22.663
2025-04-26-15:42:44,65970,2833,1067567,178,0.9588,0.9973,0.9777,1136548,22.752
